station_id,name,address,district,lat,long,bike_stands,available_bikes,status,last_update
10032,10032 - PRIMAT / DECORPS,Rue Max Barel,Villeurbanne,45.757173,4.89998,13,8,OPEN,2025-12-26T21:33:36+01:00
8021,8021 - PAUL SANTY,"101, Avenue Paul Santy",Lyon 8e Arrondissement,45.728542,4.877279,16,8,OPEN,2025-12-26T21:28:24+01:00
2001,2001 - BELLECOUR / RÉPUBLIQUE,"4, Place Le Viste",Lyon 2e Arrondissement,45.758,4.834594,18,14,OPEN,2025-12-26T21:34:19+01:00
2028,2028 - SAINTE-BLANDINE,"60, Cours Charlemagne",Lyon 2e Arrondissement,45.744438,4.822152,16,14,OPEN,2025-12-26T21:35:07+01:00
2006,2006 - PLACE DE L'HIPPODROME,"Face 1, Rue Marc-Antoine Petit",Lyon 2e Arrondissement,45.745528,4.82359,24,16,OPEN,2025-12-26T21:36:31+01:00
3021,3021 - PLACE DE LA FERRANDIÈRE,"51, Avenue Georges Pompidou",Lyon 3e Arrondissement,45.759488,4.869346,20,1,OPEN,2025-12-26T21:29:51+01:00
8059,8059 - LAENNEC / PINEL,"Face 167, Boulevard Pinel",Lyon 8e Arrondissement,45.735375,4.88954,15,3,OPEN,2025-12-26T21:33:56+01:00
1003,1003 - PLACE SATHONAY,"4, Place Sathonay",Lyon 1er Arrondissement,45.769289,4.830127,22,10,OPEN,2025-12-26T21:33:45+01:00
2009,2009 - CONFLUENCE / DOCKS,"41, Quai Rambaud",Lyon 2e Arrondissement,45.739652,4.814984,26,7,OPEN,2025-12-26T21:34:14+01:00
2011,2011 - SALA / RUE DU PLAT,25 Rue du Plat,Lyon 2e Arrondissement,45.756813,4.828342,14,13,OPEN,2025-12-26T21:30:46+01:00
1001,1001 - TERREAUX / TERME,"33, Rue Terme",Lyon 1er Arrondissement,45.767736,4.832114,16,6,OPEN,2025-12-26T21:36:32+01:00
